É”,deep,void ratio,water content,X,Y,UU,CU,CUBar,CD
0,16.5,61.6,1.653,77.65274811,-9.2609272,1,0,0,0
0,20.575,48.1,1.294,77.65274811,-9.2609272,1,0,0,0
0,34.4,43.4,1.153,77.65274811,-9.2609272,1,0,0,0
0,37.4,33.4,0.886,77.65274811,-9.2609272,1,0,0,0
0,52.3,53.8,1.442,77.65274811,-9.2609272,1,0,0,0
0,55.35,34.6,0.934,-122.4698563,-114.9771347,1,0,0,0
0,10.4,57.3,1.537,77.65274811,-9.2609272,1,0,0,0
0,15.35,60.7,1.67,77.65274811,-9.2609272,1,0,0,0
0,20.425,60.3,1.585,77.65274811,-9.2609272,1,0,0,0
0,25.5,40.1,1.132,77.65274811,-9.2609272,1,0,0,0
0,38.65,73,1.976,77.65274811,-9.2609272,1,0,0,0
0,10.9,54.7,1.45,77.65274811,-9.2609272,1,0,0,0
0,16.025,58.2,1.542,77.65274811,-9.2609272,1,0,0,0
0,20.4,34.3,0.939,77.65274811,-9.2609272,1,0,0,0
0,13.4,65.3,1.74,77.65274811,-9.2609272,1,0,0,0
0,18.4,57.9,1.55,77.65274811,-9.2609272,1,0,0,0
0,26.5,36.1,0.964,77.65274811,-9.2609272,1,0,0,0
0,36.5,71.5,1.896,77.65274811,-9.2609272,1,0,0,0
0,7.8,51.9,1.414,30.23841476,-162.0327454,1,0,0,0
